0,0.41524,0.42377,0.46941,0.53728,0.51837,0.36107,0.45568,0.40755,0.34341,0.30771,0.40763,0.37847,0.39973,0.43509,0.22743,0.40236,0.41551,0.24324,0.45218,0.40178,0.43032,0.35626,0.33511,0.24854,0.4182,0.4074,0.29734,0.3957,0.39886,0.42764,0.45875,0.40063,0.45651,0.25373,0.33616,0.32569,0.31519,0.42969,0.40762,0.45543,0.55384,0.30724,0.4007,0.39768,0.44072,0.44108,0.45545,0.48711,0.43252,0.30063,0.28375,0.42011,0.51348,0.44693,0.40097,0.44327,0.40289,0.40199,0.3533,0.2792,0.39729,0.36743,0.43536,0.38291,0.36548,0.39114,0.40703,0.38563,0.3397,0.40515,0.40703,0.39283,0.40819,0.43581,0.39281,0.40532,0.41998,0.42371,0.41165,0.38138,0.39499,0.37869,0.28397,0.39273,0.33339,0.34012,0.40099,0.38641,0.44921,0.37465,0.43119,0.40995,0.38004,0.46613,0.40344,0.4328,0.44624,0.4444
0.41524,0,0.26368,0.40429,0.70806,0.58861,0.38595,0.39753,0.27156,0.58176,0.43711,0.25439,0.50787,0.25352,0.21157,0.46836,0.22065,0.23039,0.53991,0.39102,0.39682,0.20258,0.4154,0.40367,0.52182,0.26712,0.21,0.4199,0.41781,0.26725,0.36824,0.20714,0.49616,0.58589,0.5619,0.40161,0.5807,0.40272,0.25948,0.20476,0.20188,0.71874,0.45261,0.24161,0.30417,0.28223,0.41895,0.27333,0.30451,0.3767,0.43083,0.44225,0.24138,0.26119,0.34064,0.41747,0.24773,0.42767,0.25833,0.4296,0.48628,0.24608,0.40662,0.26214,0.25356,0.40419,0.28545,0.31284,0.26629,0.44201,0.27973,0.30505,0.26942,0.43716,0.60338,0.23689,0.24131,0.23538,0.37779,0.44499,0.2632,0.29708,0.27837,0.47778,0.36196,0.57738,0.45296,0.26147,0.45448,0.51296,0.33649,0.29882,0.2727,0.25755,0.53389,0.24161,0.42,0.29462,0.43136
0.42377,0.26368,0,0.34528,0.67369,0.58837,0.36313,0.3448,0.23059,0.54214,0.38039,0.19179,0.41445,0.19737,0.2009,0.43731,0.20766,0.20222,0.48438,0.3006,0.31364,0.23699,0.40269,0.37324,0.47592,0.19077,0.18037,0.36933,0.4203,0.2752,0.2972,0.19778,0.5017,0.51729,0.52592,0.36385,0.54898,0.38632,0.18237,0.18368,0.21573,0.68432,0.40666,0.28685,0.31848,0.30109,0.39483,0.29227,0.33082,0.44538,0.41236,0.41694,0.28169,0.29022,0.37472,0.38207,0.2826,0.37407,0.32724,0.4091,0.47601,0.25742,0.38478,0.26163,0.27379,0.34377,0.3468,0.30814,0.22198,0.39475,0.22861,0.29492,0.3536,0.41139,0.55098,0.25094,0.27538,0.24047,0.30074,0.33991,0.20011,0.23113,0.26486,0.45152,0.2654,0.528,0.4773,0.28546,0.45594,0.45248,0.33572,0.25855,0.20763,0.26056,0.44604,0.23524,0.35478,0.22461,0.35973
0.46941,0.40429,0.34528,0,0.63242,0.57613,0.39461,0.31862,0.2665,0.58551,0.40406,0.26654,0.39174,0.2454,0.32886,0.47434,0.27476,0.33167,0.54959,0.2084,0.2365,0.31213,0.43789,0.36673,0.53252,0.27116,0.28669,0.41613,0.43923,0.41218,0.26906,0.30137,0.55216,0.42028,0.55294,0.38468,0.5774,0.42848,0.30325,0.31264,0.30284,0.63552,0.40009,0.39733,0.42312,0.38109,0.4309,0.40213,0.37917,0.47867,0.41787,0.40131,0.36043,0.39797,0.45864,0.36849,0.39506,0.38812,0.39411,0.44111,0.52745,0.36325,0.43446,0.3087,0.3675,0.34267,0.44265,0.41909,0.25901,0.40891,0.31553,0.36255,0.40748,0.44253,0.51275,0.35947,0.35235,0.35362,0.24576,0.29718,0.29887,0.30443,0.35012,0.50353,0.29397,0.55094,0.51218,0.3728,0.49678,0.33897,0.36843,0.27648,0.25799,0.3593,0.3508,0.3562,0.2619,0.28722,0.23927
0.53728,0.70806,0.67369,0.63242,0,0.48016,0.57711,0.5934,0.56177,0.44875,0.51033,0.57078,0.50224,0.54806,0.57174,0.55574,0.58998,0.55677,0.51319,0.50411,0.47913,0.59306,0.58696,0.57368,0.45788,0.55554,0.59887,0.54745,0.61259,0.57613,0.56705,0.5808,0.46334,0.40637,0.52078,0.53923,0.50019,0.54196,0.54082,0.57412,0.6218,0.22033,0.59515,0.64271,0.58343,0.63537,0.6203,0.61649,0.6261,0.63768,0.58605,0.57799,0.60815,0.63071,0.62653,0.57098,0.63437,0.62618,0.62832,0.5981,0.59676,0.60468,0.5868,0.6035,0.58616,0.59274,0.65454,0.60106,0.56807,0.53862,0.5652,0.58031,0.63136,0.64135,0.44904,0.58698,0.60327,0.58435,0.52991,0.51198,0.58786,0.5816,0.55099,0.56586,0.54257,0.58228,0.63359,0.60122,0.65715,0.44904,0.5789,0.56677,0.59352,0.59743,0.45167,0.59881,0.51715,0.57832,0.50674
0.51837,0.58861,0.58837,0.57613,0.48016,0,0.46434,0.53563,0.50062,0.51689,0.44165,0.47699,0.50839,0.49813,0.45951,0.44183,0.48575,0.45294,0.46648,0.52058,0.49795,0.502,0.45677,0.44433,0.46717,0.48215,0.46035,0.43808,0.4985,0.48608,0.53956,0.47717,0.3573,0.41914,0.50613,0.45176,0.53662,0.41043,0.4672,0.47975,0.49692,0.5407,0.52658,0.53157,0.51108,0.53799,0.48805,0.56051,0.55035,0.53862,0.48728,0.49053,0.51122,0.53183,0.54672,0.47951,0.53326,0.49895,0.51872,0.45714,0.54376,0.4866,0.4094,0.53297,0.47501,0.49694,0.52915,0.50567,0.46316,0.48598,0.51776,0.49173,0.52914,0.53058,0.46516,0.47988,0.49682,0.5089,0.51447,0.48914,0.48699,0.48816,0.46845,0.44674,0.47279,0.48656,0.50128,0.50858,0.48956,0.48483,0.49699,0.5123,0.47759,0.47858,0.50153,0.47786,0.52992,0.49895,0.53775
0.36107,0.38595,0.36313,0.39461,0.57711,0.46434,0,0.40251,0.33154,0.46876,0.22996,0.27778,0.36701,0.29317,0.25628,0.284,0.25531,0.24466,0.36016,0.40524,0.37845,0.27792,0.1744,0.20214,0.36759,0.2748,0.24709,0.17489,0.20517,0.29909,0.38085,0.29104,0.3484,0.48989,0.41531,0.16215,0.48816,0.21135,0.29537,0.25181,0.27166,0.65689,0.24709,0.29767,0.26503,0.29926,0.2211,0.31331,0.3403,0.32454,0.21619,0.25976,0.29716,0.29915,0.38699,0.23902,0.28216,0.20365,0.31169,0.21984,0.35155,0.26113,0.20907,0.32161,0.28979,0.18819,0.31178,0.30134,0.28887,0.27374,0.31642,0.30798,0.30469,0.21946,0.51287,0.26655,0.31548,0.27237,0.35917,0.40815,0.3058,0.31932,0.30111,0.31924,0.35503,0.46731,0.28578,0.32661,0.29604,0.4534,0.38029,0.36504,0.32111,0.30443,0.44757,0.2774,0.37197,0.36227,0.39791
0.45568,0.39753,0.3448,0.31862,0.5934,0.53563,0.40251,0,0.38436,0.5575,0.4497,0.35059,0.44708,0.3273,0.4086,0.45614,0.36905,0.36742,0.4938,0.36537,0.36772,0.34209,0.42422,0.39133,0.51167,0.35974,0.34362,0.4012,0.42075,0.40257,0.27309,0.37101,0.53407,0.52261,0.50969,0.41734,0.50488,0.41262,0.36506,0.3533,0.38989,0.67658,0.45454,0.40528,0.38652,0.43268,0.43509,0.41851,0.39349,0.49427,0.42265,0.43228,0.34186,0.41144,0.44353,0.45444,0.44592,0.405,0.35556,0.43887,0.49335,0.35335,0.42428,0.36955,0.34665,0.40762,0.43526,0.40563,0.30178,0.44485,0.33203,0.3912,0.40138,0.42953,0.5584,0.36908,0.33695,0.35522,0.35683,0.40136,0.33379,0.34015,0.3746,0.50982,0.33655,0.54553,0.46654,0.34025,0.4582,0.46005,0.36993,0.33651,0.32027,0.34825,0.46369,0.36794,0.38497,0.33967,0.36873
0.40755,0.27156,0.23059,0.2665,0.56177,0.50062,0.33154,0.38436,0,0.55221,0.37375,0.20895,0.42015,0.22912,0.22269,0.44272,0.1988,0.26463,0.48764,0.29844,0.28883,0.26037,0.43964,0.37433,0.47394,0.20654,0.19345,0.38146,0.43748,0.35838,0.30227,0.25333,0.51945,0.49419,0.53549,0.37407,0.57639,0.38522,0.23622,0.25964,0.23625,0.6646,0.39592,0.31743,0.33865,0.32379,0.41518,0.31241,0.36025,0.46547,0.40803,0.39906,0.3479,0.36707,0.41121,0.37141,0.2914,0.40457,0.37095,0.42719,0.47491,0.31264,0.4033,0.24907,0.28931,0.36368,0.37695,0.34295,0.25762,0.38474,0.25905,0.27759,0.37409,0.43508,0.51985,0.29579,0.31186,0.28571,0.2609,0.32889,0.2113,0.25212,0.28999,0.47441,0.2715,0.53668,0.49153,0.34079,0.47976,0.39605,0.36992,0.27481,0.23448,0.30083,0.39315,0.26465,0.31023,0.22757,0.3432
0.34341,0.58176,0.54214,0.58551,0.44875,0.51689,0.46876,0.5575,0.55221,0,0.38873,0.497,0.42426,0.48607,0.49633,0.31705,0.49182,0.48134,0.25395,0.48911,0.42766,0.5023,0.4345,0.40632,0.28616,0.4977,0.47266,0.38432,0.48649,0.46322,0.47291,0.51081,0.414,0.44315,0.25127,0.41342,0.26872,0.39979,0.47871,0.48365,0.53263,0.47004,0.40227,0.49395,0.45768,0.50801,0.49737,0.51513,0.50841,0.43956,0.40815,0.38453,0.51042,0.53528,0.49464,0.46946,0.51839,0.48023,0.4822,0.42913,0.3724,0.4616,0.42953,0.5152,0.4542,0.44625,0.46564,0.47637,0.4261,0.43438,0.44824,0.45201,0.45383,0.48026,0.41257,0.43969,0.43883,0.45291,0.44326,0.42539,0.44587,0.44547,0.41823,0.32542,0.43516,0.36962,0.41897,0.48426,0.45555,0.40763,0.41242,0.47252,0.48219,0.43368,0.4162,0.42714,0.45841,0.49734,0.46135
