0,0.21129,0.22159,0.232,0.22884,0.3211,0.38935,0.36343,0.2717,0.2972,0.16558,0.18653,0.19075,0.27646,0.20202,0.21609,0.21282,0.33412,0.22945,0.22024,0.1817,0.16388,0.18351,0.18817,0.25521,0.18202,0.19122,0.26927,0.16948,0.27947,0.24805,0.19812,0.19364,0.31177,0.41754,0.22327,0.20948,0.3841,0.35785,0.32087,0.4205,0.17567,0.37739,0.27467,0.32049,0.3578,0.21902,0.44658,0.40987,0.30586,0.39605,0.4129,0.42755,0.42392,0.26106,0.35735,0.35207,0.38192,0.23676,0.34935,0.39015,0.4003,0.3441,0.37127,0.46702,0.47976,0.41479,0.44717,0.38066,0.21742,0.94025,0.36396,0.24475,0.38628,0.41665,0.42131,0.40699,0.21332,0.39642,0.38147,0.38075,0.39278,0.47315,0.37501,0.23767,0.41761,0.40239,0.42878,0.39911,0.45949,0.38343,0.23981,0.40168,0.36932,0.35027,0.38403,0.38558,0.3835,0.321,0.24117,0.39257,0.96152,0.36556,0.33777,0.38864,0.43639,0.39054,0.41008,0.39496
0.21129,0,0.25788,0.33848,0.30886,0.31157,0.36835,0.34147,0.27958,0.34635,0.25342,0.26264,0.20247,0.33779,0.27117,0.29043,0.26692,0.32536,0.27819,0.20843,0.23461,0.25945,0.27429,0.26213,0.28281,0.25066,0.25051,0.29879,0.27115,0.34366,0.356,0.26456,0.24316,0.28206,0.36014,0.29381,0.27766,0.36418,0.35523,0.34074,0.38319,0.23516,0.38125,0.28888,0.33727,0.32631,0.28303,0.45498,0.41099,0.21628,0.37919,0.38109,0.40608,0.3785,0.23424,0.39531,0.34059,0.37765,0.27724,0.24917,0.41286,0.44892,0.35928,0.39206,0.39531,0.39517,0.38009,0.42767,0.41277,0.22175,0.9343,0.36744,0.25625,0.37376,0.38349,0.42614,0.40287,0.21136,0.38924,0.39223,0.41302,0.40551,0.45345,0.40097,0.25777,0.4095,0.36995,0.425,0.37898,0.42255,0.33169,0.22858,0.38952,0.35527,0.33463,0.34609,0.39399,0.41233,0.27537,0.26161,0.38687,0.9505,0.38303,0.30654,0.37411,0.39696,0.38862,0.39496,0.39825
0.22159,0.25788,0,0.26511,0.26968,0.36543,0.42513,0.42519,0.2555,0.38218,0.25639,0.2737,0.25433,0.35984,0.27236,0.30518,0.22739,0.45154,0.27598,0.27424,0.27014,0.24581,0.2686,0.25681,0.26453,0.25991,0.27626,0.28134,0.26189,0.29877,0.28537,0.30033,0.19299,0.29927,0.42022,0.26328,0.20893,0.46117,0.39162,0.29467,0.49071,0.24905,0.42873,0.27189,0.27215,0.35351,0.26283,0.51683,0.48568,0.31389,0.44237,0.36255,0.4566,0.51203,0.27518,0.44168,0.47057,0.4194,0.26384,0.3553,0.45661,0.44021,0.46007,0.45987,0.45122,0.46351,0.4024,0.46919,0.45965,0.29138,0.96345,0.44016,0.24417,0.46263,0.41304,0.48021,0.39701,0.29654,0.42379,0.42812,0.45502,0.43582,0.40179,0.4352,0.22452,0.44668,0.41907,0.35988,0.4277,0.45918,0.33523,0.20753,0.43116,0.43482,0.35197,0.37392,0.44845,0.43955,0.29542,0.23895,0.42804,1.0083,0.41087,0.2992,0.36768,0.41733,0.38325,0.39128,0.32869
0.232,0.33848,0.26511,0,0.21023,0.35732,0.44977,0.37893,0.29901,0.37687,0.19479,0.21342,0.22624,0.33872,0.24809,0.24341,0.21967,0.4057,0.22849,0.23933,0.22956,0.20409,0.18605,0.20724,0.28549,0.20885,0.23107,0.26175,0.19042,0.26761,0.19714,0.26905,0.26009,0.2765,0.39541,0.20972,0.2187,0.43579,0.45835,0.32261,0.48768,0.22764,0.4432,0.2786,0.30311,0.40785,0.24591,0.50099,0.46411,0.33793,0.40968,0.41884,0.46576,0.43605,0.31145,0.45235,0.41923,0.38917,0.24277,0.35334,0.44191,0.45306,0.42081,0.41109,0.43321,0.49277,0.42165,0.48546,0.44289,0.28288,0.90984,0.38438,0.24973,0.41433,0.41937,0.4954,0.39537,0.30037,0.44989,0.46354,0.40807,0.43276,0.43674,0.37296,0.23477,0.39322,0.43692,0.39929,0.39521,0.47322,0.38305,0.25851,0.39271,0.43393,0.38506,0.37508,0.36264,0.37995,0.34499,0.25113,0.37315,0.97537,0.35763,0.31929,0.34806,0.40372,0.38503,0.39499,0.33653
0.22884,0.30886,0.26968,0.21023,0,0.40423,0.47153,0.4139,0.31733,0.35827,0.1918,0.20179,0.24733,0.3094,0.25871,0.23385,0.26004,0.46819,0.17293,0.23626,0.23683,0.20605,0.18177,0.23847,0.30771,0.21625,0.243,0.26091,0.20757,0.27684,0.20926,0.26155,0.23582,0.34007,0.38617,0.18866,0.25561,0.49339,0.47616,0.35583,0.5277,0.27153,0.48698,0.27886,0.32491,0.39985,0.27952,0.50326,0.46421,0.31756,0.441,0.44179,0.49319,0.50701,0.25846,0.46689,0.41338,0.40449,0.21303,0.35627,0.46872,0.43042,0.42677,0.42582,0.44598,0.49092,0.4668,0.45574,0.42429,0.25163,0.89413,0.44782,0.26754,0.4647,0.44246,0.47114,0.44554,0.25078,0.46657,0.50107,0.45208,0.45814,0.49052,0.41596,0.25241,0.45152,0.47233,0.44006,0.41714,0.52438,0.41234,0.25492,0.41614,0.45539,0.39369,0.38623,0.44158,0.38659,0.37989,0.30285,0.43557,0.92104,0.40239,0.3812,0.4191,0.43516,0.4187,0.4249,0.38574
0.3211,0.31157,0.36543,0.35732,0.40423,0,0.26353,0.17787,0.42585,0.46607,0.42816,0.42541,0.40263,0.46426,0.39282,0.4482,0.40639,0.22502,0.42783,0.38972,0.40244,0.42713,0.44275,0.42317,0.42762,0.41495,0.3638,0.43386,0.43494,0.47132,0.45475,0.43027,0.37596,0.19301,0.37268,0.43427,0.38878,0.20973,0.27085,0.3252,0.25414,0.42463,0.28368,0.34228,0.42781,0.2908,0.40736,0.30409,0.25996,0.38576,0.23025,0.37138,0.41318,0.28315,0.39258,0.23182,0.23716,0.29592,0.4162,0.36488,0.23595,0.29223,0.23003,0.22497,0.25675,0.30341,0.23039,0.29436,0.30997,0.41349,0.95517,0.18718,0.40614,0.19357,0.22898,0.3086,0.29175,0.4045,0.26251,0.2114,0.2278,0.23905,0.32873,0.23816,0.40182,0.23172,0.26223,0.47527,0.3023,0.30686,0.34814,0.38353,0.23155,0.25831,0.33059,0.22811,0.2347,0.30172,0.38607,0.38627,0.21533,0.97832,0.20942,0.32511,0.36431,0.25352,0.25631,0.25664,0.4119
0.38935,0.36835,0.42513,0.44977,0.47153,0.26353,0,0.26535,0.42651,0.43697,0.49743,0.49432,0.46908,0.45555,0.4705,0.5068,0.44045,0.24428,0.49271,0.4182,0.44314,0.47033,0.49792,0.45997,0.44743,0.47779,0.44368,0.4758,0.4927,0.50978,0.51364,0.46976,0.45894,0.24527,0.34199,0.48976,0.46873,0.16605,0.18259,0.31732,0.25575,0.42143,0.23322,0.43239,0.44237,0.24297,0.45416,0.38367,0.32063,0.41443,0.24622,0.36821,0.36986,0.31696,0.41704,0.26908,0.23631,0.34318,0.46463,0.43123,0.26219,0.43481,0.29357,0.26588,0.3128,0.30683,0.2765,0.42328,0.39941,0.48705,0.95624,0.22652,0.4567,0.24856,0.25437,0.43891,0.30477,0.46762,0.21826,0.20965,0.24402,0.28265,0.29171,0.24647,0.45898,0.22233,0.21164,0.43958,0.32829,0.24909,0.30929,0.45016,0.24596,0.21461,0.31116,0.27424,0.29551,0.38199,0.3797,0.44646,0.23278,1.0325,0.25627,0.30063,0.37777,0.28699,0.25376,0.25812,0.43792
0.36343,0.34147,0.42519,0.37893,0.4139,0.17787,0.26535,0,0.40533,0.53069,0.41308,0.43039,0.4046,0.53092,0.37722,0.46954,0.40058,0.23791,0.45572,0.36319,0.44697,0.41101,0.43252,0.41328,0.42188,0.40189,0.37181,0.44029,0.41602,0.4673,0.45314,0.46633,0.37386,0.21455,0.36952,0.43384,0.39665,0.26268,0.34658,0.38939,0.29449,0.43197,0.3477,0.39563,0.4607,0.37118,0.41596,0.38481,0.26739,0.39013,0.24579,0.3906,0.45637,0.28177,0.40073,0.27483,0.29962,0.28029,0.41454,0.38077,0.28144,0.32478,0.25666,0.26098,0.26808,0.33561,0.24299,0.31388,0.29619,0.42097,0.98716,0.25139,0.40177,0.21686,0.23989,0.31972,0.3566,0.44704,0.32072,0.29242,0.26633,0.25064,0.39331,0.26073,0.4027,0.28049,0.31798,0.51907,0.29043,0.38163,0.35399,0.40814,0.28792,0.32701,0.35833,0.2547,0.26703,0.31063,0.40024,0.37922,0.24498,0.95114,0.24179,0.36932,0.42418,0.25071,0.27512,0.29244,0.4821
0.2717,0.27958,0.2555,0.29901,0.31733,0.42585,0.42651,0.40533,0,0.32451,0.28332,0.29179,0.24184,0.31099,0.21966,0.3008,0.19612,0.30966,0.33702,0.22755,0.25595,0.25493,0.28258,0.25782,0.19411,0.26608,0.24907,0.33508,0.28093,0.31195,0.35193,0.26628,0.23427,0.25693,0.36154,0.2903,0.25229,0.34773,0.36395,0.28083,0.3821,0.20246,0.31866,0.24925,0.25852,0.38787,0.23234,0.43512,0.42752,0.28886,0.38264,0.38655,0.44023,0.41469,0.25978,0.4189,0.41268,0.38619,0.28984,0.3165,0.39971,0.45655,0.39719,0.37553,0.41787,0.44316,0.4067,0.42655,0.43126,0.307,0.97259,0.31692,0.26678,0.36283,0.38113,0.4129,0.34014,0.3239,0.31787,0.35765,0.3688,0.41277,0.37184,0.35994,0.28624,0.32678,0.37666,0.37099,0.41092,0.35874,0.30256,0.26044,0.35949,0.39318,0.30452,0.34366,0.37647,0.40947,0.28631,0.25229,0.34606,1.0235,0.31925,0.26939,0.36281,0.35602,0.30564,0.32882,0.36921
0.2972,0.34635,0.38218,0.37687,0.35827,0.46607,0.43697,0.53069,0.32451,0,0.28208,0.28418,0.3296,0.21695,0.34866,0.28635,0.3297,0.39906,0.30262,0.35445,0.28279,0.29048,0.28852,0.30653,0.36028,0.30307,0.34512,0.363,0.30108,0.26636,0.34351,0.26902,0.37928,0.47216,0.34458,0.3064,0.38271,0.45744,0.39733,0.38298,0.44429,0.32027,0.4158,0.43548,0.34522,0.39898,0.32954,0.50995,0.50558,0.38843,0.47977,0.46528,0.39985,0.44627,0.41894,0.46147,0.45753,0.51374,0.31568,0.4199,0.47795,0.53137,0.4476,0.45564,0.51188,0.5052,0.52521,0.53551,0.52517,0.33112,0.87748,0.45851,0.34746,0.51631,0.50751,0.54356,0.45309,0.35576,0.45869,0.46936,0.47028,0.53043,0.44893,0.47294,0.33391,0.48619,0.48779,0.43047,0.53326,0.44951,0.42104,0.38047,0.47869,0.40645,0.42797,0.51012,0.4847,0.51169,0.39892,0.37545,0.49226,1.014,0.49815,0.41294,0.40517,0.51798,0.49687,0.49333,0.42696
