0,0.40641,0.41427,0.48352,0.48739,0.44209,0.46384,0.1895,0.21028,0.30101,0.45753,0.45185,0.33985,0.49522,0.44079,0.36481,0.35063,0.44702,0.42496,0.33679,0.55809,0.1747,0.41627,0.41917,0.46342,0.20068,0.38538,0.45317,0.3562,0.4684,0.45027,0.49362,0.45596,0.4278,0.42741,0.45783,0.36192,0.4542,0.20728,0.42719,0.47831,0.43016,0.47763,0.42573,0.39924,0.43101,0.41972,0.42659,0.43142,0.40085,0.36049,0.42091,0.36916,0.34707,0.43635,0.40755,0.3491,0.38484,0.39459,0.44234,0.4303,0.40962,0.43084,0.44534,0.4259,0.44374,0.47224,0.38085,0.45723,0.39659,0.54202,0.42853,0.48461,0.46418,0.46619,0.47195,0.44999,0.40707,0.42288,0.38973,0.44291,0.31632,0.29233,0.42069,0.17272,0.5155,0.44757,0.41244,0.43797,0.3645,0.54196,0.45461,0.50418,0.44851,0.50827
0.40641,0,0.28585,0.31515,0.27511,0.22688,0.315,0.43708,0.38312,0.48762,0.24764,0.23895,0.39291,0.28914,0.24428,0.19305,0.31472,0.2594,0.25492,0.39141,0.53494,0.39371,0.20811,0.26508,0.21432,0.39525,0.52963,0.26823,0.39694,0.27319,0.27976,0.37183,0.41561,0.34329,0.18345,0.19759,0.28607,0.21663,0.40902,0.29131,0.28482,0.33052,0.28741,0.28187,0.24103,0.21534,0.29977,0.27766,0.29049,0.25453,0.24625,0.23562,0.22348,0.24275,0.31148,0.26467,0.22369,0.17394,0.21325,0.24519,0.24332,0.22033,0.23236,0.34787,0.24046,0.27668,0.27111,0.26573,0.24707,0.22637,0.52842,0.25723,0.32313,0.26633,0.35526,0.36175,0.32536,0.21192,0.2447,0.26805,0.26857,0.42211,0.25611,0.23231,0.36509,0.49255,0.24644,0.2644,0.22861,0.20871,0.55805,0.2262,0.49248,0.34662,0.3679
0.41427,0.28585,0,0.37849,0.26443,0.25297,0.17594,0.49368,0.46966,0.49263,0.36288,0.32869,0.48553,0.31393,0.26642,0.29752,0.21806,0.31081,0.34439,0.38625,0.5868,0.48382,0.26426,0.18763,0.30119,0.48916,0.52639,0.27086,0.48769,0.21049,0.37781,0.4375,0.54403,0.44241,0.24919,0.32363,0.19276,0.3071,0.46489,0.21118,0.2424,0.27982,0.23752,0.22863,0.227,0.30525,0.28233,0.18851,0.20022,0.27842,0.19791,0.33896,0.28886,0.25346,0.22444,0.22345,0.22939,0.32207,0.2604,0.36712,0.24538,0.2507,0.25464,0.4491,0.28595,0.22756,0.377,0.37308,0.31244,0.22564,0.56976,0.37387,0.42144,0.32128,0.49813,0.49111,0.45838,0.3489,0.29933,0.19795,0.4003,0.46844,0.28112,0.29799,0.47224,0.5563,0.31584,0.40512,0.33944,0.32062,0.59837,0.35623,0.57533,0.4464,0.47508
0.48352,0.31515,0.37849,0,0.32179,0.27458,0.3741,0.55361,0.50772,0.55317,0.23485,0.23028,0.44299,0.27494,0.29232,0.31513,0.45696,0.30103,0.29507,0.47025,0.50355,0.54537,0.30717,0.33857,0.23918,0.50111,0.58111,0.28891,0.45827,0.30254,0.24931,0.29505,0.46716,0.34706,0.29224,0.27848,0.40145,0.23519,0.53714,0.32998,0.27778,0.34276,0.27729,0.37766,0.35405,0.23467,0.37952,0.37647,0.35033,0.32285,0.3807,0.25779,0.35557,0.37714,0.31437,0.34887,0.37632,0.31876,0.34463,0.26045,0.26396,0.35869,0.30008,0.29711,0.278,0.28893,0.31126,0.32405,0.2491,0.29252,0.50135,0.33048,0.27827,0.27022,0.36352,0.39734,0.38596,0.32417,0.27152,0.38144,0.3231,0.49385,0.42083,0.30007,0.52508,0.48014,0.28958,0.32831,0.3402,0.33172,0.52074,0.29006,0.52266,0.36656,0.33205
0.48739,0.27511,0.26443,0.32179,0,0.28057,0.25583,0.55606,0.52801,0.55185,0.32884,0.30715,0.4557,0.29592,0.21718,0.28641,0.34719,0.34324,0.36325,0.45692,0.59931,0.54225,0.23831,0.27357,0.24604,0.53089,0.59299,0.33401,0.50395,0.26475,0.33487,0.4358,0.51799,0.42741,0.24633,0.28852,0.31125,0.26219,0.50612,0.29073,0.2543,0.29605,0.25172,0.27626,0.2457,0.29482,0.34398,0.2714,0.21731,0.29056,0.26949,0.35338,0.27035,0.29123,0.24553,0.27135,0.29418,0.30147,0.29828,0.30745,0.25424,0.25405,0.28558,0.42021,0.32594,0.24667,0.34285,0.33984,0.26897,0.23883,0.56137,0.40425,0.37676,0.28018,0.45035,0.46833,0.47319,0.28103,0.27506,0.30378,0.39584,0.4539,0.32718,0.30305,0.53488,0.53942,0.33099,0.42277,0.36282,0.31422,0.57707,0.32357,0.55612,0.43482,0.42872
0.44209,0.22688,0.25297,0.27458,0.28057,0,0.28529,0.52382,0.51905,0.55213,0.32233,0.2706,0.48676,0.29623,0.29216,0.29309,0.3016,0.2956,0.30559,0.46146,0.59271,0.51998,0.23486,0.22829,0.24868,0.5082,0.56882,0.2622,0.50912,0.24011,0.34431,0.41227,0.54701,0.371,0.20529,0.285,0.27042,0.26007,0.52374,0.23873,0.21714,0.34552,0.22757,0.22361,0.22709,0.21022,0.28975,0.23599,0.23593,0.23159,0.22531,0.25644,0.2769,0.27729,0.24355,0.22882,0.24256,0.29938,0.25779,0.35588,0.23794,0.21756,0.22888,0.38489,0.29217,0.22492,0.31333,0.30135,0.28093,0.17265,0.57107,0.33328,0.36648,0.27994,0.44354,0.43388,0.43259,0.32145,0.28448,0.20301,0.36876,0.49223,0.29574,0.30642,0.49363,0.55256,0.26282,0.32654,0.3246,0.31212,0.60484,0.28694,0.56759,0.41077,0.42674
0.46384,0.315,0.17594,0.3741,0.25583,0.28529,0,0.5197,0.47274,0.51225,0.38911,0.35487,0.4743,0.32881,0.28375,0.32522,0.22968,0.36157,0.36401,0.43265,0.58843,0.50865,0.30695,0.19751,0.31752,0.50225,0.54655,0.28551,0.49231,0.20201,0.3959,0.42651,0.54797,0.46516,0.29301,0.36167,0.20545,0.34391,0.47889,0.22481,0.24113,0.29999,0.23963,0.24017,0.2768,0.33649,0.3076,0.2012,0.22291,0.32148,0.24663,0.34412,0.28209,0.29268,0.23598,0.24314,0.25804,0.34213,0.2829,0.39424,0.28793,0.27343,0.27749,0.45172,0.32929,0.2272,0.39759,0.39904,0.30804,0.264,0.58238,0.42255,0.45175,0.36709,0.51928,0.51626,0.50693,0.374,0.33575,0.22275,0.43804,0.4786,0.28062,0.35144,0.49949,0.57789,0.37182,0.44855,0.37139,0.35642,0.60178,0.3802,0.59128,0.49237,0.50705
0.1895,0.43708,0.49368,0.55361,0.55606,0.52382,0.5197,0,0.22101,0.25504,0.48289,0.47345,0.35718,0.51097,0.43399,0.36742,0.32154,0.41508,0.45383,0.28856,0.55261,0.20926,0.41754,0.38757,0.46092,0.20555,0.33561,0.45892,0.37099,0.43823,0.47137,0.51602,0.46343,0.4381,0.40905,0.4398,0.33731,0.46108,0.19074,0.4128,0.45987,0.39239,0.46831,0.43244,0.37848,0.43033,0.38482,0.37961,0.41344,0.42401,0.37337,0.45582,0.36445,0.3603,0.42593,0.39902,0.34373,0.37128,0.3797,0.44755,0.39307,0.40508,0.36161,0.49318,0.35917,0.43562,0.46969,0.40199,0.45593,0.386,0.53949,0.41403,0.51531,0.44987,0.49107,0.48491,0.46186,0.39368,0.39957,0.38842,0.46056,0.3537,0.30324,0.38786,0.21203,0.5223,0.42661,0.44125,0.42057,0.35332,0.53502,0.44623,0.51434,0.4748,0.52632
0.21028,0.38312,0.46966,0.50772,0.52801,0.51905,0.47274,0.22101,0,0.33142,0.51552,0.51828,0.36397,0.5289,0.42063,0.35454,0.36219,0.49427,0.50574,0.34599,0.55044,0.21806,0.46611,0.39171,0.50034,0.19283,0.42741,0.48156,0.3848,0.47848,0.53322,0.50719,0.4935,0.46637,0.44443,0.47096,0.32774,0.5054,0.23374,0.45491,0.49912,0.43896,0.49994,0.46639,0.40658,0.50417,0.39513,0.41879,0.43985,0.41851,0.38982,0.4581,0.32513,0.3609,0.45597,0.39741,0.3825,0.3808,0.41678,0.44126,0.46771,0.41671,0.4552,0.48645,0.46466,0.49455,0.50094,0.40212,0.47192,0.44581,0.52354,0.45032,0.5416,0.52406,0.52939,0.48044,0.47786,0.43251,0.47767,0.4412,0.48176,0.36566,0.28777,0.43709,0.23723,0.52023,0.4954,0.50909,0.45427,0.36409,0.52704,0.48769,0.51504,0.45766,0.54076
0.30101,0.48762,0.49263,0.55317,0.55185,0.55213,0.51225,0.25504,0.33142,0,0.49982,0.4917,0.30551,0.48056,0.40712,0.32883,0.35452,0.38639,0.46233,0.22029,0.51748,0.24847,0.42349,0.40133,0.4671,0.26131,0.24492,0.44201,0.35323,0.43002,0.50364,0.51831,0.45066,0.45804,0.44754,0.44635,0.37149,0.44557,0.20714,0.40428,0.43576,0.38144,0.46211,0.44373,0.41403,0.47359,0.38474,0.40453,0.39376,0.46394,0.38573,0.51375,0.3901,0.40633,0.45615,0.42213,0.374,0.37278,0.3825,0.4313,0.39183,0.40279,0.40314,0.51582,0.37213,0.42345,0.42621,0.3772,0.40909,0.4467,0.48979,0.39362,0.52215,0.43504,0.48466,0.43493,0.44779,0.40023,0.40858,0.42577,0.42719,0.31591,0.34441,0.38775,0.30145,0.48107,0.4203,0.5126,0.40982,0.35074,0.50395,0.44316,0.46846,0.44958,0.50706
